repo,author,sha,additions,deletions,delta_nloc,before_ccn_sum,after_ccn_sum,delta_ccn_sum,before_ccn_mean,after_ccn_mean,delta_ccn_mean,linhas_por_abs_delta_ccn
GUESTVALENCIA/SANDRA_IA_7.0,GUESTVALENCIA,6431225b5422523307513631972d71401da7d3a5,909,11,741,0,0,0,0.0,0.0,0.0,0.0
okeidar/REAnalysis,okeidar,e25b7fcf1946fc9b8a2cf20101bd4fee9c533013,2546,220,1822,1348,1492,144,2.487,2.546,0.059,17.681
GUESTVALENCIA/SANDRA_IA_7.0,GUESTVALENCIA,3e02fc190424ceb729466aba1080140d67ce2836,1,0,0,0,0,0,0.0,0.0,0.0,0.0
raoulalobo/cogiflow,Votre Nom,cbbcdbb692dc2cdeda4565a2d62957dde731b6ec,26,26,8940,110,113,3,1.222,1.228,0.006,8.667
nljolie/credli-ai-clean,Nicole Jolie Be Socially Smashing,8de5f0c830f6cdd5abffb418b3538409e384a593,9,30,-18,285,285,0,1.717,1.717,0.0,0.0
nljolie/credli-ai-clean,Nicole Jolie Be Socially Smashing,064af3d43a6c0ce161d36060863c092ea591f9bc,80,32,41,285,285,0,1.717,1.717,0.0,0.0
RewLight/foreground-monitor,RewLight,8df83e16285d8b4ae897d0aa5b02d681656095bb,685,1063,-336,202,200,-2,4.81,4.651,-0.159,342.5
frontunafronend/frontuna-app,frontunafronend,7db194d6e326b0ef00ab2900a795dee5f6765577,152,18,111,3227,3231,4,1.59,1.59,0.0,38.0
RoninXu/smooth-sql,RoninXu,afe2f4d37b15268f60c023d0075c558fb48eb2cc,438,10,251,671,699,28,1.699,1.652,-0.047,15.643
rajstories/BuildDost,rajstories,85181f12829710bdfed1e94abff10f9b3d5d629d,980,7,1991,948,951,3,1.559,1.562,0.003,326.667
Dip-ankar/chatGpt-project,Dip-ankar,f90a8b23c10e5e1b03655c5189fcd3f71dfca391,0,0,-6,996,996,0,3.984,3.984,0.0,0.0
remilatoufik1-byte/dark-control-server,remilatoufik1-byte,e6aef4f5858cfd23de6f5a01fa5be8c48a78c06d,78,0,59,14,34,20,2.333,4.25,1.917,3.9
OpenTermsArchive/GenAI-snapshots,OTA-Bot,4160dff9537d59bacdaca26e442b7e5b2d04e088,2,2,0,4246,4246,0,3.843,3.843,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,855df4079612a6d0f5e5d4f7e1e8937707a22d9a,2,2,0,4246,4246,0,3.843,3.843,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,0cb23284ac7c7476f7a4651b648885e1b8ac90ef,2,2,0,4246,4246,0,3.843,3.843,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,07179ea45d3ce41329fde6ef4fff859538a6cf29,2,2,0,4246,4246,0,3.843,3.843,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,46062240ffa437f3db4820233eeb6a9e3aaae666,2,2,0,4246,4246,0,3.843,3.843,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,3902179acfffb3eb77a5af4e3643fd22232bfab1,2,2,0,4246,4246,0,3.843,3.843,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,f3396abce133a9004cc690d2fd2552190d9d5651,1,1,0,4246,4246,0,3.843,3.843,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,88e652775cf9321972679888c867e9ab340bc05a,2,2,0,4246,4246,0,3.843,3.843,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,e40b2398ab7c177118fc8134bc8d0d26d4c361f4,2,2,0,4246,4246,0,3.843,3.843,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,b7c09044b545792829fc8da2d18eabfd098be5af,2,2,0,4246,4246,0,3.843,3.843,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,500bd05ecee79cbe5b156de2bfd2bd1110c9d22c,2,2,0,4246,4246,0,3.843,3.843,0.0,0.0
skyasu2/openmanager-vibe-v5,skyasu2,f40137ff7cd9ebcb909f285af5fb08c3e56e1c5c,306,52,176,18247,18247,0,1.769,1.769,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,302390aa43df9845ae6826cdf02125c1a4cad491,2,2,0,4246,4246,0,3.843,3.843,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,064afb77948cd33a5b2c52e39d0f5fea00d716de,2,2,0,4246,4246,0,3.843,3.843,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,0107548b192a32d608ec84b234543a21448419fd,1,1,0,4246,4246,0,3.843,3.843,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,2538b4216ace4e52eabd70de51662b70ab537e31,1,1,0,4246,4246,0,3.843,3.843,0.0,0.0
brainybuddy/swistack_app,MACBOOK,4796ea9e59c3b55771b79e8f1a5b00e4a3f2fc75,6354,171,4462,2921,3112,191,2.226,2.185,-0.041,33.267
chyx/chat-syncer,chyx,4cf12657c56b21e09c3a96c711d288f34633c70a,1005,13,812,131,220,89,1.701,1.849,0.148,11.292
michael-borck/talk-buddy,michael-borck,2db1d3b1a08ba9cd30e5af7ca4f0ca6c00c5a4e0,108,30,73,1346,1366,20,2.27,2.288,0.018,5.4
nabariho/health-savings-account-manager,nabariho,4643e082479cd21c1f3abe51dd1970a522e19ed1,1372,141,1041,801,802,1,2.033,2.03,-0.003,1372.0
find-xposed-magisk/lobe-chat,semantic-release-bot,f326e8989e7ab2db24da8aeb1a9f8710dfab7605,26,1,807,25466,25466,0,1.359,1.359,0.0,0.0
mpiyarul143-art/Lubo-hub,semantic-release-bot,f326e8989e7ab2db24da8aeb1a9f8710dfab7605,26,1,807,25466,25466,0,1.359,1.359,0.0,0.0
lobehub/lobe-chat,semantic-release-bot,f326e8989e7ab2db24da8aeb1a9f8710dfab7605,26,1,807,25466,25466,0,1.359,1.359,0.0,0.0
Craig-0219/potato,root,b03cba2c3d323f1ce5820a0e319dda555b097265,341,5,264,11581,11581,0,3.448,3.448,0.0,0.0
araeLaver/blog-automation,araeLaver,84517facf9dae0fade823c9ac5b9e381deb1f84d,735,0,674,2857,2898,41,4.264,4.312,0.048,17.927
ifukazoo/openai-chat-proxy,ifukazoo,1199d8a285008b77639529f45767842f03579d94,9,9,0,4,4,0,2.0,2.0,0.0,0.0
crothmeier/T4DailyDriver,crothmeier,66192e35cb7b871f9bd0236599e8b89aad10671a,771,5,534,907,990,83,3.286,3.311,0.025,9.289
ifukazoo/openai-chat-proxy,ifukazoo,345650c3d1e035f4bda81fac695155fb7000c877,1,1,0,4,4,0,2.0,2.0,0.0,0.0
aryorogo4-gif/enya-whatsapp-bot,aryorogo4-gif,a02728284b667ebd7fe032f7beaa807822dcbf21,43,0,34,0,0,0,0.0,0.0,0.0,0.0
vm799/drug-trial-syneticx-integration,vm799,374d8d3a5364035ece9aeaf7814e58a3666e48a4,276,9,267,1627,1627,0,1.686,1.686,0.0,0.0
crothmeier/T4DailyDriver,crothmeier,de90bc57d79fbb70e72102645d6c8826de699c58,3367,29,2389,587,907,320,3.579,3.286,-0.293,10.522
